,id,movie_id,name,original_name,gender,popularity,job
0,74568,616037,Chris Hemsworth,Chris Hemsworth,2,5.0393,Acting
1,524,616037,Natalie Portman,Natalie Portman,1,6.7164,Acting
2,3894,616037,Christian Bale,Christian Bale,2,6.9884,Acting
3,62561,616037,Tessa Thompson,Tessa Thompson,1,4.4033,Acting
4,55934,616037,Taika Waititi,Taika Waititi,2,4.3771,Acting
5,934,616037,Russell Crowe,Russell Crowe,2,3.476,Acting
6,59817,616037,Jaimie Alexander,Jaimie Alexander,1,1.9775,Acting
7,17605,616037,Idris Elba,Idris Elba,2,6.5593,Acting
8,73457,616037,Chris Pratt,Chris Pratt,2,5.6532,Acting
9,543530,616037,Dave Bautista,Dave Bautista,2,5.9574,Acting
10,1355525,616037,Matthew Schmidt,Matthew Schmidt,2,0.3562,Editor
11,57769,616037,Peter S. Elliot,Peter S. Elliot,2,0.3816,Editor
12,1459360,616037,Tim Roche,Tim Roche,2,0.8041,Editor
13,1556346,616037,Jennifer Vecchiarello,Jennifer Vecchiarello,0,0.2518,Editor
14,1256726,616037,Brad Winderbaum,Brad Winderbaum,2,0.5656,Producer
15,55934,616037,Taika Waititi,Taika Waititi,2,4.3771,Writer
16,1721377,616037,Jennifer Kaytin Robinson,Jennifer Kaytin Robinson,1,0.5534,Writer
17,2074823,616037,Nami Melumad,Nami Melumad,1,0.43,Original Music Composer
18,1406766,616037,Barry Idoine,Barry Idoine,2,0.5528,Director of Photography
19,15347,616037,Michael Giacchino,Michael Giacchino,2,1.3303,Original Music Composer
20,55934,616037,Taika Waititi,Taika Waititi,2,4.3771,Director
21,10850,616037,Kevin Feige,Kevin Feige,2,1.9079,Producer
22,206919,762504,Daniel Kaluuya,Daniel Kaluuya,2,4.5531,Acting
23,74688,762504,Keke Palmer,Keke Palmer,1,4.1524,Acting
24,1602972,762504,Brandon Perea,Brandon Perea,2,0.637,Acting
25,7486,762504,Michael Wincott,Michael Wincott,2,1.3041,Acting
26,215055,762504,Steven Yeun,Steven Yeun,2,2.9576,Acting
27,205772,762504,Wrenn Schmidt,Wrenn Schmidt,1,1.0785,Acting
28,65827,762504,Keith David,Keith David,2,3.4468,Acting
29,111518,762504,Devon Graye,Devon Graye,2,0.8172,Acting
30,236696,762504,Terry Notary,Terry Notary,2,1.0339,Acting
31,2340185,762504,Barbie Ferreira,Barbie Ferreira,1,1.3675,Acting
32,291263,762504,Jordan Peele,Jordan Peele,2,3.4299,Writer
33,1761126,762504,Michael Abels,Michael Abels,2,0.6945,Original Music Composer
34,1538796,762504,Nicholas Monsour,Nicholas Monsour,2,0.3155,Editor
35,74401,762504,Hoyte van Hoytema,Hoyte van Hoytema,2,0.5926,Director of Photography
36,291263,762504,Jordan Peele,Jordan Peele,2,3.4299,Director
37,291263,762504,Jordan Peele,Jordan Peele,2,3.4299,Producer
38,2330663,762504,Ian Cooper,Ian Cooper,2,0.4347,Producer
39,30614,725201,Ryan Gosling,Ryan Gosling,2,9.0152,Acting
40,16828,725201,Chris Evans,Chris Evans,2,6.7503,Acting
41,224513,725201,Ana de Armas,Ana de Armas,1,9.8331,Acting
42,879,725201,Billy Bob Thornton,Billy Bob Thornton,2,4.3581,Acting
43,1202689,725201,Jessica Henwick,Jessica Henwick,1,2.6412,Acting
44,550165,725201,Dhanush,Dhanush,2,2.5738,Acting
45,1981,725201,Alfre Woodard,Alfre Woodard,1,2.1322,Acting
46,1628687,725201,Regé-Jean Page,Regé-Jean Page,2,6.3487,Acting
47,52583,725201,Wagner Moura,Wagner Moura,2,3.6248,Acting
48,1651362,725201,Julia Butters,Julia Butters,1,2.0389,Acting
49,19272,725201,Joe Russo,Joe Russo,2,1.122,Screenplay
50,18311,725201,Joe Roth,Joe Roth,2,0.5959,Producer
51,1463281,725201,Chris Castaldi,Chris Castaldi,2,0.5648,Producer
52,58192,725201,Stephen F. Windon,Stephen F. Windon,2,0.3221,Director of Photography
53,950,725201,Pietro Scalia,Pietro Scalia,2,0.8161,Editor
54,961610,725201,Jeff Groth,Jeff Groth,2,1.0864,Editor
55,227440,725201,Henry Jackman,Henry Jackman,2,0.4776,Original Music Composer
56,5551,725201,Christopher Markus,Christopher Markus,2,0.7681,Screenplay
57,19271,725201,Anthony Russo,Anthony Russo,2,1.303,Producer
58,19272,725201,Joe Russo,Joe Russo,2,1.122,Producer
59,19272,725201,Joe Russo,Joe Russo,2,1.122,Director
60,19271,725201,Anthony Russo,Anthony Russo,2,1.303,Director
61,5552,725201,Stephen McFeely,Stephen McFeely,2,0.773,Screenplay
62,1405917,725201,Mike Larocca,Mike Larocca,2,0.6885,Producer
63,29400,725201,Jeff Kirschenbaum,Jeff Kirschenbaum,2,0.5799,Producer
64,1331457,762975,Sofia Carson,Sofia Carson,1,4.2773,Acting
65,1425934,762975,Nicholas Galitzine,Nicholas Galitzine,2,5.4366,Acting
66,1382755,762975,John Harlan Kim,John Harlan Kim,2,0.5973,Acting
67,1643043,762975,Chosen Jacobs,Chosen Jacobs,2,0.7266,Acting
68,1496755,762975,Anthony Ippolito,Anthony Ippolito,2,0.614,Acting
69,57251,762975,Linden Ashby,Linden Ashby,2,1.0981,Acting
70,2126621,762975,Kat Cunning,Kat Cunning,3,0.4945,Acting
71,3533641,762975,Nicholas Duvernay,Nicholas Duvernay,2,0.88,Acting
72,2023715,762975,Scott Deckert,Scott Deckert,2,0.7557,Acting
73,2108072,762975,Kendall Chappell,Kendall Chappell,1,0.4061,Acting
