,id,movie_id,name,original_name,gender,popularity,job
0,3894,49026,Christian Bale,Christian Bale,2,6.9884,Acting
1,64,49026,Gary Oldman,Gary Oldman,2,4.147,Acting
2,2524,49026,Tom Hardy,Tom Hardy,2,8.9356,Acting
3,24045,49026,Joseph Gordon-Levitt,Joseph Gordon-Levitt,2,3.6956,Acting
4,1813,49026,Anne Hathaway,Anne Hathaway,1,12.0155,Acting
5,8293,49026,Marion Cotillard,Marion Cotillard,1,3.4912,Acting
6,192,49026,Morgan Freeman,Morgan Freeman,2,8.463,Acting
7,3895,49026,Michael Caine,Michael Caine,2,3.7087,Acting
8,8654,49026,Matthew Modine,Matthew Modine,2,2.0318,Acting
9,16607,49026,Alon Aboutboul,Alon Aboutboul,2,1.0277,Acting
10,947,49026,Hans Zimmer,Hans Zimmer,2,2.3581,Original Music Composer
11,3893,49026,David S. Goyer,David S. Goyer,2,3.0257,Story
12,525,49026,Christopher Nolan,Christopher Nolan,2,7.7447,Producer
13,527,49026,Jonathan Nolan,Jonathan Nolan,2,1.64,Screenplay
14,525,49026,Christopher Nolan,Christopher Nolan,2,7.7447,Screenplay
15,559,49026,Wally Pfister,Wally Pfister,2,0.6534,Director of Photography
16,282,49026,Charles Roven,Charles Roven,2,1.8865,Producer
17,556,49026,Emma Thomas,Emma Thomas,1,1.2591,Producer
18,525,49026,Christopher Nolan,Christopher Nolan,2,7.7447,Story
19,3904,49026,Lee Smith,Lee Smith,2,1.0406,Editor
20,525,49026,Christopher Nolan,Christopher Nolan,2,7.7447,Director
21,1054260,110420,Haru Kuroki,黒木華,1,1.2909,Acting
22,559411,110420,Yukito Nishii,西井幸人,2,0.3216,Acting
23,104522,110420,Aoi Miyazaki,宮﨑あおい,1,1.0698,Acting
24,45999,110420,Takao Osawa,大沢たかお,2,0.9617,Acting
25,225662,110420,Momoka Ohno,大野百花,1,0.5508,Acting
26,1314114,110420,Amon Kabe,加部亜門,2,0.3052,Acting
27,1210372,110420,Takuma Hiraoka,平岡拓真,2,0.179,Acting
28,40325,110420,Megumi Hayashibara,林原めぐみ,1,2.2788,Acting
29,1241795,110420,Tadashi Nakamura,中村正,2,1.0772,Acting
30,12199,110420,Tamio Ohki,大木民夫,2,1.0731,Acting
31,81718,110420,Mamoru Hosoda,細田守,2,0.8715,Director
32,67935,110420,Shigeru Nishiyama,西山茂,2,0.5331,Editor
33,223712,110420,Takuya Ito,伊藤卓哉,2,0.2117,Producer
34,81720,110420,Yuichiro Saito,齋藤優一郎,2,0.2219,Producer
35,81721,110420,Satoko Okudera,奥寺佐渡子,1,0.7661,Screenplay
36,1693275,110420,Takashi Watanabe,渡邊隆史,2,0.2475,Producer
37,81718,110420,Mamoru Hosoda,細田守,2,0.8715,Screenplay
38,122512,110420,Justin Cook,Justin Cook,2,0.3644,Producer
39,2159508,110420,Ryo Horibe,堀部亮,2,0.3744,Director of Photography
40,1067807,110420,Masakatsu Takagi,高木正勝,2,0.456,Original Music Composer
41,7399,80035,Ben Stiller,Ben Stiller,2,4.098,Acting
42,4937,80035,Vince Vaughn,Vince Vaughn,2,2.2063,Acting
43,21007,80035,Jonah Hill,Jonah Hill,2,3.8874,Acting
44,98103,80035,Richard Ayoade,Richard Ayoade,2,1.5358,Acting
45,14892,80035,Rosemarie DeWitt,Rosemarie DeWitt,1,1.517,Acting
46,1215797,80035,Erinn Hayes,Erinn Hayes,1,2.2978,Acting
47,990393,80035,Erin Moriarty,Erin Moriarty,1,2.1803,Acting
48,196843,80035,Jill Jane Clements,Jill Jane Clements,1,0.6778,Acting
49,62831,80035,Will Forte,Will Forte,2,2.5151,Acting
50,59675,80035,Mel Rodriguez,Mel Rodriguez,2,1.3204,Acting
51,23486,80035,Christophe Beck,Christophe Beck,2,0.6948,Original Music Composer
52,54164,80035,Barry Peterson,Barry Peterson,2,0.4848,Director of Photography
53,62854,80035,Akiva Schaffer,Akiva Schaffer,2,0.9886,Director
54,54271,80035,Dean Zimmerman,Dean Zimmerman,2,0.6947,Editor
55,54734,80035,Evan Goldberg,Evan Goldberg,2,0.9503,Screenplay
56,89027,80035,Jared Stern,Jared Stern,2,0.559,Screenplay
