,id,movie_id,name,original_name,gender,popularity,job
0,2176,608,Tommy Lee Jones,Tommy Lee Jones,2,3.3085,Acting
1,2888,608,Will Smith,Will Smith,2,7.1637,Acting
2,9626,608,Rip Torn,Rip Torn,2,1.9118,Acting
3,6684,608,Lara Flynn Boyle,Lara Flynn Boyle,1,2.0263,Acting
4,9656,608,Johnny Knoxville,Johnny Knoxville,2,2.9546,Acting
5,5916,608,Rosario Dawson,Rosario Dawson,1,3.149,Acting
6,4252,608,Tony Shalhoub,Tony Shalhoub,2,1.7542,Acting
7,9657,608,Patrick Warburton,Patrick Warburton,2,3.3071,Acting
8,1240,608,Jack Kehler,Jack Kehler,2,1.5806,Acting
9,212,608,David Cross,David Cross,2,2.5308,Acting
10,5174,608,Barry Sonnenfeld,Barry Sonnenfeld,2,0.8854,Director
11,9644,608,Barry Fanaro,Barry Fanaro,2,0.3379,Screenplay
12,8701,608,Laurie MacDonald,Laurie MacDonald,1,0.6565,Producer
13,2212,608,Walter F. Parkes,Walter F. Parkes,2,0.5982,Producer
14,531,608,Danny Elfman,Danny Elfman,2,1.2692,Original Music Composer
15,9645,608,Greg Gardiner,Greg Gardiner,2,0.7468,Director of Photography
16,9646,608,Richard Pearson,Richard Pearson,2,0.6457,Editor
17,9647,608,Steven Weisberg,Steven Weisberg,2,0.2691,Editor
18,41386,608,Robert Gordon,Robert Gordon,2,0.313,Screenplay
19,41386,608,Robert Gordon,Robert Gordon,2,0.313,Story
20,31,4147,Tom Hanks,Tom Hanks,2,13.6256,Acting
21,3636,4147,Paul Newman,Paul Newman,2,2.9901,Acting
22,9642,4147,Jude Law,Jude Law,2,3.4111,Acting
23,78198,4147,Tyler Hoechlin,Tyler Hoechlin,2,1.7022,Acting
24,8784,4147,Daniel Craig,Daniel Craig,2,5.5783,Acting
25,2283,4147,Stanley Tucci,Stanley Tucci,2,4.6034,Acting
26,10431,4147,Jennifer Jason Leigh,Jennifer Jason Leigh,1,3.3451,Acting
27,19977,4147,Liam Aiken,Liam Aiken,2,0.9954,Acting
28,19152,4147,Dylan Baker,Dylan Baker,2,2.7425,Acting
29,8785,4147,Ciarán Hinds,Ciarán Hinds,2,3.9024,Acting
30,39,4147,Sam Mendes,Sam Mendes,2,1.6036,Director
31,35021,4147,David Self,David Self,2,0.2199,Screenplay
32,153,4147,Thomas Newman,Thomas Newman,2,0.8933,Original Music Composer
33,8217,4147,Conrad Hall,Conrad Hall,2,0.6365,Director of Photography
34,3050,4147,Jill Bilcock,Jill Bilcock,1,0.349,Editor
35,39,4147,Sam Mendes,Sam Mendes,2,1.6036,Producer
36,1191105,4147,Dean Zanuck,Dean Zanuck,0,0.247,Producer
37,1297,4147,Richard D. Zanuck,Richard D. Zanuck,2,0.4606,Producer
38,12032,4147,Glenn Williamson,Glenn Williamson,2,0.1885,Producer
39,12073,818,Mike Myers,Mike Myers,2,2.4996,Acting
40,14386,818,Beyoncé,Beyoncé,1,0.8307,Acting
41,13922,818,Seth Green,Seth Green,2,4.2986,Acting
42,13919,818,Michael York,Michael York,2,1.7616,Acting
43,9208,818,Robert Wagner,Robert Wagner,2,2.05,Acting
44,13924,818,Mindy Sterling,Mindy Sterling,1,1.856,Acting
45,10987,818,Verne Troyer,Verne Troyer,2,1.7139,Acting
46,3895,818,Michael Caine,Michael Caine,2,4.1615,Acting
47,2223,818,Fred Savage,Fred Savage,2,1.9659,Acting
48,12052,818,Gwyneth Paltrow,Gwyneth Paltrow,1,3.9525,Acting
