,id,movie_id,name,original_name,gender,popularity,job
0,5292,20504,Denzel Washington,Denzel Washington,2,5.7459,Acting
1,64,20504,Gary Oldman,Gary Oldman,2,4.147,Acting
2,18973,20504,Mila Kunis,Mila Kunis,1,10.2308,Acting
3,56614,20504,Ray Stevenson,Ray Stevenson,2,2.1602,Acting
4,3130,20504,Jennifer Beals,Jennifer Beals,1,2.6796,Acting
5,5658,20504,Michael Gambon,Michael Gambon,2,1.9155,Acting
6,2887,20504,Tom Waits,Tom Waits,2,1.2743,Acting
7,47468,20504,Frances de la Tour,Frances de la Tour,1,3.0277,Acting
8,333,20504,Evan Jones,Evan Jones,2,0.9996,Acting
9,86237,20504,Joe Pingue,Joe Pingue,2,0.6245,Acting
10,11448,20504,Allen Hughes,Allen Hughes,2,0.5551,Director
11,5292,20504,Denzel Washington,Denzel Washington,2,5.7459,Producer
12,1091,20504,Joel Silver,Joel Silver,2,0.8259,Producer
13,36,20504,Don Burgess,Don Burgess,2,0.9141,Director of Photography
14,968470,20504,Claudia Sarne,Claudia Sarne,1,0.2942,Original Music Composer
15,11447,20504,Albert Hughes,Albert Hughes,2,0.8337,Director
16,47286,20504,Andrew A. Kosove,Andrew A. Kosove,2,0.3482,Producer
17,86239,20504,Gary Whitta,Gary Whitta,2,0.5282,Writer
18,47285,20504,Broderick Johnson,Broderick Johnson,2,0.4441,Producer
19,968471,20504,Leopold Ross,Leopold Ross,2,0.441,Original Music Composer
20,47642,20504,Cindy Mollo,Cindy Mollo,1,0.2147,Editor
21,3718,20504,David Valdes,David Valdes,2,0.987,Producer
22,142391,20504,Atticus Ross,Atticus Ross,2,0.7867,Original Music Composer
23,51383,46838,Tyler Labine,Tyler Labine,2,1.189,Acting
24,21088,46838,Alan Tudyk,Alan Tudyk,2,3.5424,Acting
25,74618,46838,Katrina Bowden,Katrina Bowden,1,1.5135,Acting
26,59926,46838,Jesse Moss,Jesse Moss,2,1.1586,Acting
27,64670,46838,Philip Granger,Philip Granger,2,1.1043,Acting
28,58371,46838,Brandon Jay McLaren,Brandon Jay McLaren,2,1.0226,Acting
29,168554,46838,Christie Laing,Christie Laing,1,0.7498,Acting
30,27775,46838,Chelan Simmons,Chelan Simmons,1,1.0082,Acting
31,236702,46838,Travis Nelson,Travis Nelson,2,1.151,Acting
32,212952,46838,Alex Arsenault,Alex Arsenault,2,0.5303,Acting
33,52479,46838,Eli Craig,Eli Craig,2,0.6165,Director
34,52479,46838,Eli Craig,Eli Craig,2,0.6165,Writer
35,137482,46838,Morgan Jurgenson,Morgan Jurgenson,0,0.3052,Writer
36,31906,46838,David Geddes,David Geddes,2,0.57,Director of Photography
37,137482,46838,Morgan Jurgenson,Morgan Jurgenson,0,0.3052,Producer
38,936268,46838,Albert Klychak,Albert Klychak,0,0.0827,Producer
39,936269,46838,Rosanne Milliken,Rosanne Milliken,0,0.2876,Producer
40,6223,46838,Deepak Nayar,Deepak Nayar,2,0.7401,Producer
