,id,movie_id,name,original_name,gender,popularity,job
0,1981044,1084199,Sophie Thatcher,Sophie Thatcher,1,2.6545,Acting
1,1030513,1084199,Jack Quaid,Jack Quaid,2,2.7138,Acting
2,1371509,1084199,Lukas Gage,Lukas Gage,2,1.3431,Acting
3,2073513,1084199,Megan Suri,Megan Suri,1,0.7549,Acting
4,210172,1084199,Harvey Guillén,Harvey Guillén,2,1.2221,Acting
5,36669,1084199,Rupert Friend,Rupert Friend,2,5.3966,Acting
6,1998733,1084199,Jaboukie Young-White,Jaboukie Young-White,2,0.6508,Acting
7,1152011,1084199,Matthew J. McCarthy,Matthew J. McCarthy,2,0.365,Acting
8,212776,1084199,Marc Menchaca,Marc Menchaca,2,2.091,Acting
9,3303063,1084199,Woody Fu,Woody Fu,2,0.3085,Acting
10,21036,1084199,Roy Lee,Roy Lee,2,0.7118,Producer
11,84833,1084199,Zach Cregger,Zach Cregger,2,3.3504,Producer
12,1276440,1084199,Raphael Margules,Raphael Margules,2,0.2923,Producer
13,1087245,1084199,Drew Hancock,Drew Hancock,2,0.4206,Writer
14,1087245,1084199,Drew Hancock,Drew Hancock,2,0.4206,Director
15,1276439,1084199,J.D. Lifshitz,J.D. Lifshitz,2,0.647,Producer
16,1168710,1084199,Brett W. Bachman,Brett W. Bachman,2,0.3267,Editor
17,1194701,1084199,Josh Ethier,Josh Ethier,2,0.7435,Editor
18,1447961,1084199,Eli Born,Eli Born,2,0.2818,Director of Photography
19,1191975,1084199,Hrishikesh Hirway,Hrishikesh Hirway,2,0.3215,Original Music Composer
20,2240794,1084199,Josh Mack,Josh Mack,2,0.1105,Producer
21,134,993710,Jamie Foxx,Jamie Foxx,2,3.4826,Acting
22,6941,993710,Cameron Diaz,Cameron Diaz,1,3.6131,Acting
23,2072197,993710,McKenna Roberts,McKenna Roberts,1,0.7013,Acting
24,3969912,993710,Rylan Jackson,Rylan Jackson,2,0.6685,Acting
25,3497,993710,Kyle Chandler,Kyle Chandler,2,1.9959,Acting
26,515,993710,Glenn Close,Glenn Close,1,2.7703,Acting
27,1470911,993710,Jamie Demetriou,Jamie Demetriou,2,4.21,Acting
28,125660,993710,Andrew Scott,Andrew Scott,2,2.1373,Acting
29,1610713,993710,Fola Evans-Akingbola,Fola Evans-Akingbola,1,2.8835,Acting
30,1336095,993710,Robert Besta,Robert Besta,2,0.9239,Acting
31,184582,993710,Brendan O'Brien,Brendan O'Brien,2,0.2707,Writer
32,71600,993710,Seth Gordon,Seth Gordon,2,0.8506,Writer
33,71600,993710,Seth Gordon,Seth Gordon,2,0.8506,Director
34,63263,993710,Beau Bauman,Beau Bauman,2,0.1887,Producer
35,71600,993710,Seth Gordon,Seth Gordon,2,0.8506,Producer
36,49911,993710,Christopher Lennertz,Christopher Lennertz,2,1.284,Original Music Composer
37,57769,993710,Peter S. Elliot,Peter S. Elliot,2,0.3816,Editor
38,959274,993710,Ken Seng,Ken Seng,2,0.8131,Director of Photography
39,266920,993710,Peter Chernin,Peter Chernin,2,0.6944,Producer
40,36427,993710,Jenno Topping,Jenno Topping,1,0.609,Producer
41,53180,993710,Sharla Sumpter,Sharla Sumpter,1,0.3451,Producer
42,13240,1126166,Mark Wahlberg,Mark Wahlberg,2,6.1637,Acting
43,70904,1126166,Michelle Dockery,Michelle Dockery,1,2.013,Acting
44,17052,1126166,Topher Grace,Topher Grace,2,2.5339,Acting
45,15050,1126166,Leah Remini,Leah Remini,1,1.2775,Acting
46,2714088,1126166,Maaz Ali,Maaz Ali,2,0.2331,Acting
47,85142,1126166,Paul Ben-Victor,Paul Ben-Victor,2,1.3946,Acting
48,4606072,1126166,Eilise Patton,Eilise Patton,1,0.3505,Acting
49,2535429,1126166,Savanah Joeckel,Savanah Joeckel,1,0.5419,Acting
50,2128127,1126166,Monib Abhat,Monib Abhat,2,0.5187,Acting
51,5191418,1126166,Senor Pablo,Senor Pablo,2,0.0445,Acting
52,2043,1126166,John Davis,John Davis,2,0.6259,Producer
53,2461,1126166,Mel Gibson,Mel Gibson,2,7.0795,Director
54,2461,1126166,Mel Gibson,Mel Gibson,2,7.0795,Producer
55,2487,1126166,Bruce Davey,Bruce Davey,2,0.5155,Producer
56,4059005,1126166,Jared Rosenberg,Jared Rosenberg,0,0.1804,Writer
57,1622420,1126166,Johnny Derango,Johnny Derango,2,0.4,Director of Photography
58,8576,1126166,Antonio Pinto,Antonio Pinto,2,0.4725,Original Music Composer
59,2484,1126166,Steven Rosenblum,Steven Rosenblum,2,0.4839,Editor
60,984629,710295,Christopher Abbott,Christopher Abbott,2,1.3208,Acting
61,936970,710295,Julia Garner,Julia Garner,1,2.2824,Acting
62,3844059,710295,Matilda Firth,Matilda Firth,1,0.3634,Acting
63,65727,710295,Sam Jaeger,Sam Jaeger,2,0.8321,Acting
64,1416517,710295,Ben Prendergast,Ben Prendergast,2,0.374,Acting
65,5008708,710295,Zac Chandler,Zac Chandler,2,0.321,Acting
66,1275904,710295,Benedict Hardie,Benedict Hardie,2,1.1524,Acting
67,966556,710295,Milo Cawthorne,Milo Cawthorne,2,0.5724,Acting
68,2128,710295,Leigh Whannell,Leigh Whannell,2,0.9505,Acting
69,2161870,710295,Rob MacBride,Rob MacBride,2,0.6787,Acting
70,2128,710295,Leigh Whannell,Leigh Whannell,2,0.9505,Director
71,1293545,710295,Stefan Duscio,Stefan Duscio,2,0.152,Director of Photography
72,1193674,710295,Andy Canny,Andy Canny,2,0.7139,Editor
73,84348,710295,Jason Blum,Jason Blum,2,0.9659,Producer
74,2128,710295,Leigh Whannell,Leigh Whannell,2,0.9505,Screenplay
75,188081,710295,Corbett Tuck,Corbett Tuck,1,0.6815,Screenplay
76,40825,710295,Benjamin Wallfisch,Benjamin Wallfisch,2,0.7707,Original Music Composer
77,17276,604685,Gerard Butler,Gerard Butler,2,5.3653,Acting
78,1371398,604685,O'Shea Jackson Jr.,O'Shea Jackson Jr.,2,1.254,Acting
79,93336,604685,Evin Ahmad,Evin Ahmad,1,0.6806,Acting
80,1343865,604685,Salvatore Esposito,Salvatore Esposito,2,0.8733,Acting
81,956385,604685,Meadow Williams,Meadow Williams,1,0.9147,Acting
82,1075049,604685,Swen Temmel,Swen Temmel,2,4.1796,Acting
