,id,movie_id,name,original_name,gender,popularity,job
0,1303037,207703,Taron Egerton,Taron Egerton,2,3.2888,Acting
1,5472,207703,Colin Firth,Colin Firth,2,4.305,Acting
2,2231,207703,Samuel L. Jackson,Samuel L. Jackson,2,5.5128,Acting
3,2983,207703,Mark Strong,Mark Strong,2,4.1889,Acting
4,1282054,207703,Sophie Cookson,Sophie Cookson,1,1.1705,Acting
5,568657,207703,Sofia Boutella,Sofia Boutella,1,2.1777,Acting
6,3895,207703,Michael Caine,Michael Caine,2,3.7087,Acting
7,1322314,207703,Edward Holcroft,Edward Holcroft,2,1.4185,Acting
8,931785,207703,Hanna Alström,Hanna Alström,1,0.9663,Acting
9,78952,207703,Samantha Womack,Samantha Womack,1,1.6184,Acting
10,957,207703,Matthew Vaughn,Matthew Vaughn,2,1.3519,Director
11,61578,207703,Adam Bohling,Adam Bohling,2,0.6024,Producer
12,189613,207703,David Reid,David Reid,0,0.6429,Producer
13,957,207703,Matthew Vaughn,Matthew Vaughn,2,1.3519,Producer
14,23447,207703,Jane Goldman,Jane Goldman,1,0.6372,Writer
15,957,207703,Matthew Vaughn,Matthew Vaughn,2,1.3519,Writer
16,1114,207703,Jon Harris,Jon Harris,2,2.1772,Editor
17,969021,207703,Matthew Margeson,Matthew Margeson,2,0.309,Original Music Composer
18,49809,207703,Eddie Hamilton,Eddie Hamilton,2,1.1445,Editor
19,1017789,207703,George Richmond,George Richmond,2,0.4916,Director of Photography
20,227440,207703,Henry Jackman,Henry Jackman,2,0.5434,Original Music Composer
21,93210,264660,Domhnall Gleeson,Domhnall Gleeson,2,1.753,Acting
22,227454,264660,Alicia Vikander,Alicia Vikander,1,3.1146,Acting
23,25072,264660,Oscar Isaac,Oscar Isaac,2,6.4082,Acting
24,1457238,264660,Sonoya Mizuno,Sonoya Mizuno,1,1.3678,Acting
25,17199,264660,Corey Johnson,Corey Johnson,2,1.2832,Acting
26,1457239,264660,Claire Selby,Claire Selby,1,0.2252,Acting
27,1394342,264660,Symara A. Templeman,Symara A. Templeman,1,0.1271,Acting
28,1457240,264660,Gana Bayarsaikhan,Gana Bayarsaikhan,1,0.5527,Acting
29,1457241,264660,Tiffany Pisani,Tiffany Pisani,1,0.1616,Acting
30,1394348,264660,Elina Alminas,Elina Alminas,1,0.5546,Acting
31,2036,264660,Alex Garland,Alex Garland,2,1.5443,Director
32,2036,264660,Alex Garland,Alex Garland,2,1.5443,Writer
33,2035,264660,Andrew Macdonald,Andrew Macdonald,2,3.6363,Producer
34,17600,264660,Allon Reich,Allon Reich,2,0.5122,Producer
35,1162217,264660,Rob Hardy,Rob Hardy,2,0.6557,Director of Photography
36,11345,264660,Mark Day,Mark Day,2,0.5448,Editor
37,78441,264660,Geoff Barrow,Geoff Barrow,2,0.3835,Original Music Composer
38,1379650,264660,Ben Salisbury,Ben Salisbury,2,0.3944,Original Music Composer
39,928575,227719,Jonny Weston,Jonny Weston,2,0.6325,Acting
40,515628,227719,Sofia Black-D'Elia,Sofia Black-D'Elia,1,0.9464,Acting
41,57191,227719,Sam Lerner,Sam Lerner,2,1.2694,Acting
42,76412,227719,Allen Evangelista,Allen Evangelista,2,0.3638,Acting
43,1279279,227719,Virginia Gardner,Virginia Gardner,1,2.0884,Acting
44,357551,227719,Amy Landecker,Amy Landecker,1,1.1239,Acting
45,168875,227719,Gary Weeks,Gary Weeks,2,0.8518,Acting
46,1502196,227719,Macsen Lintz,Macsen Lintz,2,0.2804,Acting
47,68180,227719,Gary Grubbs,Gary Grubbs,2,1.2255,Acting
