,id,movie_id,name,original_name,gender,popularity,job
87,1120883,341013,Sam Hargrave,Sam Hargrave,2,1.0348,Acting
88,40684,341013,David Leitch,David Leitch,2,1.2852,Director
89,17285,341013,Kurt Johnstad,Kurt Johnstad,2,0.6584,Screenplay
90,20222,341013,A.J. Dix,A.J. Dix,0,0.2602,Producer
91,6885,341013,Charlize Theron,Charlize Theron,1,5.3739,Producer
92,1017235,341013,Elísabet Ronaldsdóttir,Elísabet Ronaldsdóttir,1,0.7136,Editor
93,15221,341013,Tyler Bates,Tyler Bates,2,0.6509,Original Music Composer
94,12033,341013,Jonathan Sela,Jonathan Sela,2,0.6184,Director of Photography
95,1472650,341013,Peter Schwerin,Peter Schwerin,2,0.2746,Producer
96,68217,341013,Eric Gitter,Eric Gitter,2,0.1236,Producer
97,1117873,341013,Beth Kono,Beth Kono,1,0.6714,Producer
98,1030590,341013,Kelly McCormick,Kelly McCormick,1,0.6324,Producer
99,51990,378236,T.J. Miller,T.J. Miller,2,4.0296,Acting
100,55466,378236,James Corden,James Corden,2,1.4832,Acting
101,1772,378236,Anna Faris,Anna Faris,1,8.1229,Acting
102,52792,378236,Maya Rudolph,Maya Rudolph,1,2.2162,Acting
103,3214,378236,Steven Wright,Steven Wright,2,1.2031,Acting
104,38334,378236,Jennifer Coolidge,Jennifer Coolidge,1,3.7612,Acting
105,60255,378236,Jake T. Austin,Jake T. Austin,2,0.946,Acting
106,53397,378236,Christina Aguilera,Christina Aguilera,1,1.4486,Acting
107,63522,378236,Sofía Vergara,Sofía Vergara,1,6.0968,Acting
108,2387,378236,Patrick Stewart,Patrick Stewart,2,2.87,Acting
109,1743063,378236,Michelle Raimo Kouyate,Michelle Raimo Kouyate,1,0.183,Producer
110,76746,378236,William J. Caparella,William J. Caparella,2,0.1118,Editor
111,89112,378236,Tony Leondis,Tony Leondis,2,0.7682,Director
112,89112,378236,Tony Leondis,Tony Leondis,2,0.7682,Writer
113,9152,378236,Patrick Doyle,Patrick Doyle,2,0.6504,Original Music Composer
114,211565,378236,Eric Siegel,Eric Siegel,2,0.4335,Writer
115,17735,378236,Mike White,Mike White,2,2.1193,Writer
116,527393,415842,Dylan O'Brien,Dylan O'Brien,2,4.0612,Acting
117,2232,415842,Michael Keaton,Michael Keaton,2,3.2583,Acting
118,60900,415842,Taylor Kitsch,Taylor Kitsch,2,2.158,Acting
119,1797771,415842,Shiva Negar,Shiva Negar,1,0.7318,Acting
120,5411,415842,Sanaa Lathan,Sanaa Lathan,1,2.4223,Acting
121,78110,415842,Scott Adkins,Scott Adkins,2,5.985,Acting
122,20277,415842,David Suchet,David Suchet,2,1.4248,Acting
123,103330,415842,Navid Negahban,Navid Negahban,2,1.5528,Acting
124,27649,415842,Joseph Long,Joseph Long,2,0.8692,Acting
125,1262750,415842,Charlotte Vega,Charlotte Vega,1,0.9555,Acting
126,84931,415842,Michael Cuesta,Michael Cuesta,2,0.5742,Director
127,59583,415842,Stephen Schiff,Stephen Schiff,2,0.7122,Screenplay
128,10952,415842,Lorenzo di Bonaventura,Lorenzo di Bonaventura,2,0.5649,Producer
129,6468,415842,Nick Wechsler,Nick Wechsler,2,0.686,Producer
130,113307,415842,Michael Finch,Michael Finch,2,0.6418,Screenplay
131,9181,415842,Edward Zwick,Edward Zwick,2,1.0278,Screenplay
132,9182,415842,Marshall Herskovitz,Marshall Herskovitz,2,0.6648,Screenplay
133,17598,415842,Enrique Chediak,Enrique Chediak,2,0.9395,Director of Photography
134,3987,415842,Conrad Buff IV,Conrad Buff IV,2,0.3415,Editor
135,16368,415842,Steven Price,Steven Price,2,1.2103,Original Music Composer
136,12795,339692,Nikolaj Coster-Waldau,Nikolaj Coster-Waldau,2,3.4065,Acting
137,41556,339692,Omari Hardwick,Omari Hardwick,2,1.1337,Acting
138,19498,339692,Jon Bernthal,Jon Bernthal,2,5.231,Acting
139,25703,339692,Lake Bell,Lake Bell,1,1.5013,Acting
140,1041440,339692,Emory Cohen,Emory Cohen,2,1.2546,Acting
141,52886,339692,Jeffrey Donovan,Jeffrey Donovan,2,1.9112,Acting
142,7497,339692,Holt McCallany,Holt McCallany,2,2.1496,Acting
143,333,339692,Evan Jones,Evan Jones,2,1.2899,Acting
144,1350469,339692,Andrew Bachelor,Andrew Bachelor,2,0.8426,Acting
145,4589,339692,Benjamin Bratt,Benjamin Bratt,2,2.8798,Acting
146,76422,339692,Ric Roman Waugh,Ric Roman Waugh,2,1.5399,Director
147,76422,339692,Ric Roman Waugh,Ric Roman Waugh,2,1.5399,Writer
148,76422,339692,Ric Roman Waugh,Ric Roman Waugh,2,1.5399,Producer
149,10684,339692,Jonathan King,Jonathan King,2,0.5287,Producer
150,66726,339692,Michel Litvak,Michel Litvak,2,0.4729,Producer
151,66727,339692,Gary Michael Walters,Gary Michael Walters,2,0.2259,Producer
152,8576,339692,Antonio Pinto,Antonio Pinto,2,0.4179,Original Music Composer
153,963861,339692,Dana Gonzales,Dana Gonzales,2,0.5502,Director of Photography
154,1475899,339692,Michelle Tesoro,Michelle Tesoro,1,0.5218,Editor
155,1098962,417320,Dove Cameron,Dove Cameron,1,6.2957,Acting
156,1421393,417320,Mitchell Hope,Mitchell Hope,2,0.7382,Acting
157,75041,417320,Cameron Boyce,Cameron Boyce,2,2.7041,Acting
158,1331457,417320,Sofia Carson,Sofia Carson,1,4.4197,Acting
159,1729496,417320,Thomas Doherty,Thomas Doherty,2,2.0015,Acting
160,1334653,417320,Jedidiah Goodacre,Jedidiah Goodacre,2,0.7555,Acting
161,121868,417320,Booboo Stewart,Booboo Stewart,2,1.0909,Acting
162,80613,417320,China Anne McClain,China Anne McClain,1,1.2894,Acting
163,1421398,417320,Brenna D'Amico,Brenna D'Amico,1,0.5956,Acting
164,1098664,417320,Dylan Playfair,Dylan Playfair,2,0.5319,Acting
165,65310,417320,Kenny Ortega,Kenny Ortega,2,0.6266,Director
166,41698,417320,Josann McGibbon,Josann McGibbon,1,0.7641,Writer
167,41697,417320,Sara Parriott,Sara Parriott,1,0.6837,Writer
168,7413,417320,Mark Irwin,Mark Irwin,2,0.9456,Director of Photography
169,21587,417320,David Lawrence,David Lawrence,2,0.2578,Original Music Composer
170,43901,417320,Shawn Williamson,Shawn Williamson,2,0.4608,Producer
171,58208,417320,Don Brochu,Don Brochu,2,0.3302,Editor
172,236695,407448,John Boyega,John Boyega,2,1.6162,Acting
173,93491,407448,Will Poulter,Will Poulter,2,4.2423,Acting
174,53650,407448,Anthony Mackie,Anthony Mackie,2,3.3846,Acting
175,1377458,407448,Algee Smith,Algee Smith,2,1.1694,Acting
176,213395,407448,Hannah Murray,Hannah Murray,1,1.8653,Acting
177,1115984,407448,Jason Mitchell,Jason Mitchell,2,0.9983,Acting
178,77078,407448,Malcolm David Kelley,Malcolm David Kelley,2,0.7714,Acting
179,1007683,407448,Jack Reynor,Jack Reynor,2,0.97,Acting
180,1394235,407448,Ben O'Toole,Ben O'Toole,2,0.4761,Acting
181,512316,407448,Jacob Latimore,Jacob Latimore,2,0.8896,Acting
182,14392,407448,Kathryn Bigelow,Kathryn Bigelow,1,1.2136,Director
183,51686,407448,Mark Boal,Mark Boal,2,0.6556,Screenplay
184,51686,407448,Mark Boal,Mark Boal,2,0.6556,Producer
185,1383143,407448,Harry Yoon,Harry Yoon,2,0.5606,Editor
186,1027025,407448,Megan Ellison,Megan Ellison,1,1.3702,Producer
187,14392,407448,Kathryn Bigelow,Kathryn Bigelow,1,1.2136,Producer
188,15841,407448,William Goldenberg,William Goldenberg,2,0.8173,Editor
189,1279645,407448,Matthew Budman,Matthew Budman,0,0.307,Producer
190,1213,407448,James Newton Howard,James Newton Howard,2,0.5963,Original Music Composer
191,15493,407448,Barry Ackroyd,Barry Ackroyd,2,0.3956,Director of Photography
192,490,407448,Colin Wilson,Colin Wilson,2,1.4757,Producer
193,35705,417870,Regina Hall,Regina Hall,1,4.5581,Acting
194,15758,417870,Queen Latifah,Queen Latifah,1,2.4432,Acting
195,9575,417870,Jada Pinkett Smith,Jada Pinkett Smith,1,2.6126,Acting
196,1230868,417870,Tiffany Haddish,Tiffany Haddish,1,1.6587,Acting
197,18291,417870,Larenz Tate,Larenz Tate,2,1.3828,Acting
198,450,417870,Mike Colter,Mike Colter,2,1.5442,Acting
199,61114,417870,Kate Walsh,Kate Walsh,1,2.4562,Acting
200,1451543,417870,Kofi Siriboe,Kofi Siriboe,2,1.0029,Acting
201,9779,417870,Morris Chestnut,Morris Chestnut,2,2.4989,Acting
202,1292479,417870,Deborah Ayorinde,Deborah Ayorinde,1,1.0628,Acting
203,72024,417870,Malcolm D. Lee,Malcolm D. Lee,2,1.1964,Director
204,1371247,417870,Tracy Oliver,Tracy Oliver,1,0.9577,Writer
205,1407486,417870,Kenya Barris,Kenya Barris,2,0.908,Writer
206,1229796,417870,Erica Rivinoja,Erica Rivinoja,1,0.621,Writer
207,31121,417870,Will Packer,Will Packer,2,0.7083,Producer
208,3393,417870,David Newman,David Newman,2,0.6883,Original Music Composer
209,1859048,417870,Paul Millspaugh,Paul Millspaugh,2,0.7029,Editor
210,72024,417870,Malcolm D. Lee,Malcolm D. Lee,2,1.1964,Producer
211,9645,417870,Greg Gardiner,Greg Gardiner,2,0.7468,Director of Photography
212,125025,440597,Joey King,Joey King,1,5.6225,Acting
213,1310760,440597,Ki Hong Lee,Ki Hong Lee,2,1.3078,Acting
214,1001946,440597,Sydney Park,Sydney Park,1,0.9635,Acting
215,1753911,440597,Shannon Purser,Shannon Purser,1,0.6064,Acting
216,6681,440597,Sherilyn Fenn,Sherilyn Fenn,1,3.5671,Acting
217,126932,440597,Elisabeth Röhm,Elisabeth Röhm,1,2.9155,Acting
218,11864,440597,Ryan Phillippe,Ryan Phillippe,2,3.425,Acting
219,1753912,440597,Mitchell Slaggert,Mitchell Slaggert,2,0.5691,Acting
220,1753914,440597,Josephine Langford,Josephine Langford,1,2.5982,Acting
221,1517252,440597,Alice Lee,Alice Lee,1,0.5977,Acting
222,26714,440597,John R. Leonetti,John R. Leonetti,2,0.5302,Director
223,228894,440597,Barbara Marshall,Barbara Marshall,1,0.4238,Writer
224,33283,440597,Peck Prior,Peck Prior,2,0.5999,Editor
225,1419268,440597,Michael Galbraith,Michael Galbraith,2,0.267,Director of Photography
226,51986,440597,Sherryl Clark,Sherryl Clark,1,0.3214,Producer
227,2197869,440597,Andy Milburn,Andy Milburn,2,0.4202,Original Music Composer
228,2197868,440597,Tom Hajdu,Tom Hajdu,2,0.1783,Original Music Composer
229,1498026,455656,Nesta Cooper,Nesta Cooper,1,0.6669,Acting
230,1442955,455656,Keith Powers,Keith Powers,2,0.7447,Acting
231,1155085,455656,Alicia Sanz,Alicia Sanz,1,0.9689,Acting
232,1450286,455656,Jake Borelli,Jake Borelli,2,0.8848,Acting
233,1080862,455656,Anne Winters,Anne Winters,1,1.1512,Acting
234,1594748,455656,Patrick Davis Alarcón,Patrick Davis Alarcón,2,0.4534,Acting
235,1517841,455656,Michael Provost,Michael Provost,2,1.38,Acting
236,1891360,455656,Ryan Malaty,Ryan Malaty,0,0.3168,Acting
237,61114,455656,Kate Walsh,Kate Walsh,1,2.3087,Acting
238,8265,455656,John Michael Higgins,John Michael Higgins,2,1.125,Acting
239,1324190,455656,Amy P. McGrath,Amy P. McGrath,1,0.2163,Editor
240,971920,455656,Radu Ion,Radu Ion,0,0.2141,Editor
241,1070054,455656,Jane Fleming,Jane Fleming,1,0.2782,Producer
242,1309,455656,Mark Ordesky,Mark Ordesky,2,0.563,Producer
243,130372,455656,Fernando Lebrija,Fernando Lebrija,2,0.2534,Director
244,1569971,455656,Brandon Broussard,Brandon Broussard,2,0.4364,Story
245,1891355,455656,Hudson Obayuwana,Hudson Obayuwana,0,0.4015,Story
246,1565511,455656,Jana Savage,Jana Savage,1,0.8393,Story
247,78350,430447,Yuki Amami,天海祐希,1,1.5401,Acting
248,225730,430447,Ryunosuke Kamiki,神木隆之介,2,1.8282,Acting
249,1348015,430447,Hana Sugisaki,杉咲花,1,1.1198,Acting
250,58449,430447,Fumiyo Kohinata,小日向文世,2,1.6149,Acting
251,100765,430447,Hikari Mitsushima,満島ひかり,1,1.0816,Acting
252,133699,430447,Jiro Sato,佐藤二朗,2,1.1365,Acting
253,35642,430447,Kenichi Endo,遠藤憲一,2,1.4019,Acting
254,68705,430447,Eri Watanabe,渡辺えり,1,0.4378,Acting
255,545825,430447,Shinobu Otake,大竹しのぶ,1,1.133,Acting
256,73044,430447,Ikue Otani,大谷育江,1,2.5413,Acting
257,552333,430447,Takatsugu Muramatsu,村松崇継,2,0.495,Original Music Composer
258,1173423,430447,Toru Fukushi,福士享,2,0.4698,Director of Photography
259,144476,430447,Hiromasa Yonebayashi,米林宏昌,2,0.4848,Director
260,144476,430447,Hiromasa Yonebayashi,米林宏昌,2,0.4848,Screenplay
261,1375745,430447,Yoshiaki Nishimura,西村義明,2,0.3518,Producer
262,1129392,430447,Riko Sakaguchi,坂口理子,1,0.3434,Screenplay
263,2159548,430447,Tomoko Hosokawa,細川朋子,1,0.0987,Producer
264,2159549,430447,Shô Oyamada,Shô Oyamada,0,0.0494,Producer
265,1248272,430447,Toshihiko Kojima,小島俊彦,2,0.2083,Editor
266,2159553,430447,Satoko Ookubo,大久保聡子,1,0.1962,Producer
267,70522,430447,Will Clarke,Will Clarke,2,0.1521,Producer
268,478,347984,Jamie Bell,Jamie Bell,2,2.3065,Acting
269,2983,347984,Mark Strong,Mark Strong,2,4.1619,Acting
270,37260,347984,Abbie Cornish,Abbie Cornish,1,1.8034,Acting
271,68985,347984,Martin Shaw,Martin Shaw,2,0.8559,Acting
272,11276,347984,Tim Pigott-Smith,Tim Pigott-Smith,2,1.1215,Acting
273,1261071,347984,Ben Turner,Ben Turner,2,0.5708,Acting
274,228968,347984,Emun Elliott,Emun Elliott,2,0.7152,Acting
275,122280,347984,Aymen Hamdouchi,Aymen Hamdouchi,2,0.7484,Acting
276,17357,347984,Andrew Grainger,Andrew Grainger,2,0.5272,Acting
277,15578,347984,Colin Moy,Colin Moy,2,0.805,Acting
278,73875,347984,Toa Fraser,Toa Fraser,2,0.834,Director
279,104999,347984,Glenn Standring,Glenn Standring,2,0.2367,Screenplay
280,1155982,347984,Aaron Morton,Aaron Morton,2,0.3864,Director of Photography
281,1345315,347984,Dan Kircher,Dan Kircher,0,0.305,Editor
282,964698,347984,Matthew Metcalfe,Matthew Metcalfe,2,0.3429,Producer
283,2338050,347984,Lachlan Anderson,Lachlan Anderson,0,0.235,Original Music Composer
284,2338052,347984,David Long,David Long,0,0.1547,Original Music Composer
285,1315,347984,John Gilbert,John Gilbert,2,2.2563,Editor
286,227454,257785,Alicia Vikander,Alicia Vikander,1,3.6555,Acting
287,122889,257785,Dane DeHaan,Dane DeHaan,2,2.1757,Acting
288,27319,257785,Christoph Waltz,Christoph Waltz,2,3.9379,Acting
289,5309,257785,Judi Dench,Judi Dench,1,3.0641,Acting
290,85065,257785,Jack O'Connell,Jack O'Connell,2,4.4325,Acting
291,302165,257785,Holliday Grainger,Holliday Grainger,1,2.2927,Acting
292,58225,257785,Zach Galifianakis,Zach Galifianakis,2,2.7744,Acting
293,155209,257785,Matthew Morrison,Matthew Morrison,2,1.7122,Acting
294,2441,257785,Tom Hollander,Tom Hollander,2,2.7857,Acting
295,1289968,257785,Cara Delevingne,Cara Delevingne,1,2.2746,Acting
296,71570,257785,Justin Chadwick,Justin Chadwick,2,0.6907,Director
297,372,257785,Tom Stoppard,Tom Stoppard,2,0.9232,Screenplay
298,1288389,257785,Rick Russell,Rick Russell,0,0.0393,Editor
299,37756,257785,Alison Owen,Alison Owen,1,0.6329,Producer
300,59839,257785,Harvey Weinstein,Harvey Weinstein,2,4.39,Producer
301,36652,257785,Deborah Moggach,Deborah Moggach,1,0.473,Screenplay
302,29231,257785,Eigil Bryld,Eigil Bryld,2,0.2496,Director of Photography
303,531,257785,Danny Elfman,Danny Elfman,2,1.2692,Original Music Composer
304,142193,436274,Diego Klattenhoff,Diego Klattenhoff,2,1.9596,Acting
305,1212960,436274,Charlotte Sullivan,Charlotte Sullivan,1,1.2037,Acting
306,1278643,436274,Brett Donahue,Brett Donahue,2,0.4913,Acting
307,1106200,436274,Bradley Sawatzky,Bradley Sawatzky,2,0.1831,Acting
308,1742672,436274,Nazariy Demkowicz,Nazariy Demkowicz,2,0.292,Acting
309,1896596,436274,Andrea del Campo,Andrea del Campo,1,0.457,Acting
310,1661385,436274,Kristen Sawatzky,Kristen Sawatzky,1,0.5288,Acting
311,1191551,436274,Darren Felbel,Darren Felbel,2,0.415,Acting
312,2045140,436274,Shannon Guile,Shannon Guile,1,0.7358,Acting
313,1184361,436274,Rick Skene,Rick Skene,2,0.9607,Acting
314,1501942,436274,Steeve Léonard,Steeve Léonard,2,1.1001,Director
315,1742666,436274,Caroline Labrèche,Caroline Labrèche,1,0.1943,Director
316,1896594,436274,Simon Villeneuve,Simon Villeneuve,0,0.1337,Director of Photography
317,1742666,436274,Caroline Labrèche,Caroline Labrèche,1,0.1943,Screenplay
318,1501942,436274,Steeve Léonard,Steeve Léonard,2,1.1001,Editor
319,1501942,436274,Steeve Léonard,Steeve Léonard,2,1.1001,Screenplay
320,59446,436274,Benoît Charest,Benoît Charest,2,0.2657,Original Music Composer
