,id,movie_id,name,original_name,gender,popularity,job
0,2888,38700,Will Smith,Will Smith,2,6.4007,Acting
1,78029,38700,Martin Lawrence,Martin Lawrence,2,2.3377,Acting
2,67599,38700,Vanessa Hudgens,Vanessa Hudgens,1,3.8346,Acting
3,23498,38700,Alexander Ludwig,Alexander Ludwig,2,2.7882,Acting
4,1907002,38700,Charles Melton,Charles Melton,2,1.2927,Acting
5,544442,38700,Paola Nuñez,Paola Nuñez,1,1.164,Acting
6,36628,38700,Kate del Castillo,Kate del Castillo,1,2.9145,Acting
7,1688196,38700,Nicky Jam,Nicky Jam,2,0.5481,Acting
8,532,38700,Joe Pantoliano,Joe Pantoliano,2,2.4629,Acting
9,2256312,38700,Jacob Scipio,Jacob Scipio,2,1.084,Acting
10,770,38700,Jerry Bruckheimer,Jerry Bruckheimer,2,1.4775,Producer
11,40223,38700,Joe Carnahan,Joe Carnahan,2,1.1459,Screenplay
12,1399842,38700,Bilall Fallah,Bilall Fallah,2,0.6773,Director
13,1399841,38700,Adil El Arbi,Adil El Arbi,2,0.4378,Director
14,929145,38700,Lorne Balfe,Lorne Balfe,2,0.6903,Original Music Composer
15,1500497,38700,Robrecht Heyvaert,Robrecht Heyvaert,2,0.3173,Director of Photography
16,1986351,38700,Chris Bremner,Chris Bremner,2,0.3603,Screenplay
17,2049399,38700,Doug Belgrad,Doug Belgrad,2,0.2598,Producer
18,225633,38700,Peter Craig,Peter Craig,2,0.9366,Screenplay
19,225633,38700,Peter Craig,Peter Craig,2,0.9366,Story
20,40223,38700,Joe Carnahan,Joe Carnahan,2,1.1459,Story
21,2888,38700,Will Smith,Will Smith,2,6.4007,Producer
22,11455,38700,Dan Lebental,Dan Lebental,2,0.7427,Editor
23,1046115,38700,Peter McNulty,Peter McNulty,0,0.4353,Editor
24,10297,522627,Matthew McConaughey,Matthew McConaughey,2,4.6221,Acting
25,56365,522627,Charlie Hunnam,Charlie Hunnam,2,4.6626,Acting
26,70904,522627,Michelle Dockery,Michelle Dockery,1,2.013,Acting
27,239271,522627,Jeremy Strong,Jeremy Strong,2,1.6388,Acting
28,45753,522627,Lyne Renee,Lyne Renee,1,0.7594,Acting
29,72466,522627,Colin Farrell,Colin Farrell,2,4.0032,Acting
30,1807132,522627,Henry Golding,Henry Golding,2,2.5889,Acting
31,67212,522627,Tom Wu,Tom Wu,2,1.3695,Acting
32,1285754,522627,Chidi Ajufo,Chidi Ajufo,2,0.8432,Acting
33,3291,522627,Hugh Grant,Hugh Grant,2,2.9733,Acting
34,10297,522627,Matthew McConaughey,Matthew McConaughey,2,4.6221,Producer
35,956,522627,Guy Ritchie,Guy Ritchie,2,4.1124,Director
36,956,522627,Guy Ritchie,Guy Ritchie,2,4.1124,Producer
37,1429639,522627,Alan Stewart,Alan Stewart,2,0.4073,Director of Photography
38,969705,522627,Paul Machliss,Paul Machliss,2,0.4756,Editor
39,956,522627,Guy Ritchie,Guy Ritchie,2,4.1124,Screenplay
40,956,522627,Guy Ritchie,Guy Ritchie,2,4.1124,Story
41,2037427,522627,Ivan Atkinson,Ivan Atkinson,2,0.752,Story
42,1270829,522627,Marn Davies,Marn Davies,2,0.5222,Story
43,2037427,522627,Ivan Atkinson,Ivan Atkinson,2,0.752,Producer
