,id,movie_id,name,original_name,gender,popularity,job
0,2231,7214,Samuel L. Jackson,Samuel L. Jackson,2,6.1335,Acting
1,10689,7214,Rob Brown,Rob Brown,2,1.4262,Acting
2,52037,7214,Robert Ri'chard,Robert Ri'chard,2,1.2631,Acting
3,53184,7214,Rick Gonzalez,Rick Gonzalez,2,1.5614,Acting
4,74307,7214,Nana Gbewonyo,Nana Gbewonyo,2,0.3282,Acting
5,93602,7214,Antwon Tanner,Antwon Tanner,2,0.9609,Acting
6,38673,7214,Channing Tatum,Channing Tatum,2,4.3996,Acting
7,57172,7214,Ashanti,Ashanti,1,1.0944,Acting
8,53185,7214,Texas Battle,Texas Battle,2,0.9839,Acting
9,168897,7214,Lacey Beeman,Lacey Beeman,1,2.5733,Acting
10,53175,7214,Mark Schwahn,Mark Schwahn,2,0.4692,Screenplay
11,53177,7214,Brian Robbins,Brian Robbins,2,0.867,Producer
12,53178,7214,Michael Tollin,Michael Tollin,2,1.077,Producer
13,52038,7214,Thomas Carter,Thomas Carter,2,1.2049,Director
14,894,7214,Trevor Rabin,Trevor Rabin,2,0.4383,Original Music Composer
15,53176,7214,John Gatins,John Gatins,2,0.7316,Screenplay
16,53181,7214,Sharone Meir,Sharone Meir,2,0.5492,Director of Photography
17,2033,7214,Peter E. Berger,Peter E. Berger,2,0.2646,Editor
18,1746321,7214,David Gale,David Gale,0,0.195,Producer
19,27578,2652,Elliot Page,Elliot Page,3,4.724,Acting
20,17178,2652,Patrick Wilson,Patrick Wilson,2,2.6141,Acting
21,25540,2652,Sandra Oh,Sandra Oh,1,2.0108,Acting
22,27579,2652,Odessa Rae,Odessa Rae,1,0.6703,Acting
23,27580,2652,G.J. Echternkamp,G.J. Echternkamp,2,0.7642,Acting
24,3113536,2652,Cori Bright,Cori Bright,0,0.3018,Acting
25,27574,2652,David Higgins,David Higgins,2,0.3261,Producer
26,27571,2652,David Slade,David Slade,2,0.6872,Director
27,20459,2652,Harry Escott,Harry Escott,2,0.3006,Original Music Composer
28,27575,2652,Richard Hutton,Richard Hutton,2,0.0897,Producer
29,20460,2652,Molly Nyman,Molly Nyman,1,0.2844,Original Music Composer
